gene	parentterm	Sider_MI	Sider_drug	OT_MI	OT_maxPhaseForIndication	OT_drug	phenotype_omim	phenotype_coloc	phenotype_eqtl_Pheno	phenotype_coloc_tissue	phenotype_Pheno_hgmd	phenotype_Pheno_genebass	Opentargets_Pheno_eva	Opentargets_OTG_lessL2G	genescores_Tissuespecific_PT_V80.01	phenotype_eqtl_tissue	genescores_oe_dichotomized	genescoresum	Number_predictors	order	percent	category	parentterm_description	Clinvar_phenotype_description	Colocpheno_phenotype_description	Coloctissue_phenotype_description	Eqtlpheno_phenotype_description	Eqtltissue_phenotype_description	Genebass_phenotype_description	Hgmd_phenotype_description	Omim_phenotype_description	OTG_less_l2g_phenotype_description	Druggable_gene	OR_cutoff	therapeutic
SMARCA4	411	NA	NA	NA	NA	NA	0	1	1	1	0	1	0	1	0	1	1	2.83022890005983	7	6854088	99.9836328865199	circulatory system	Ischemic Heart Disease	0	Non-cancer illness code, self-reported: angina;Non-cancer illness code, self-reported: heart attack/myocardial infarction;Vascular/heart problems diagnosed by doctor: Heart attack;Vascular/heart problems diagnosed by doctor: Angina;Diagnoses - main ICD10: I25 Chronic ischaemic heart disease;Myocardial infarction;Angina pectoris;Coronary atherosclerosis;Other chronic ischemic heart disease, unspecified;Ischemic Heart Disease;Other acute and subacute forms of ischemic heart disease	AdiposeSubcutaneous;AdiposeVisceralOmentum;ArteryCoronary;BreastMammaryTissue	Angina pectoris,Chronic ischemic heart disease,Coronary atherosclerosis,Myocardial infarction,Other chronic ischemic heart disease, unspecified	AdiposeSubcutaneous;AdiposeVisceralOmentum;ArteryTibial;BreastMammaryTissue;Lung	Date I21 first reported (acute myocardial infarction);Date I20 first reported (angina pectoris);Date I25 first reported (chronic ischaemic heart disease);Date I24 first reported (other acute ischaemic heart diseases)	0	0	Myocardial infarction (early onset);Coronary artery disease;"Myocardial infarction, strict" (no controls excluded);Myocardial infarction;Angina | vascular/heart problems diagnosed by doctor;Angina pectoris;Stable angina pectoris;Coronary heart disease;Ischemic heart disease;Coronary artery disease or ischemic stroke;Angina pectoris (no controls excluded);Major coronary heart disease event;Coronary artery disease (myocardial infarction, percutaneous transluminal coronary angioplasty, coronary artery bypass grafting, angina or chromic ischemic heart disease);Ischemic heart diseases;"Ischaemic heart disease, wide definition";Angina;"Myocardial infarction, strict";Coronary artery disease or large artery stroke;Peripheral atherosclerosis;Angina | non-cancer illness code, self-reported	Not druggable	6	0
TRAPPC3L	555	NA	NA	NA	NA	NA	0	0	0	1	0	1	0	1	0	0	0	1.61956062691077	3	6837655	99.7439174000505	digestive	Inflammatory bowel disease and other gastroenteritis and colitis	0	0	Spleen	0	0	Date K51 first reported (ulcerative colitis)	0	0	Ulcerative colitis	Not druggable	6	0
THUMPD3	345	NA	NA	NA	NA	NA	0	0	0	1	1	0	0	0	0	0	0	0.992945238071303	2	6768434	98.7341598579766	neurological	Epilepsy, recurrent seizures, convulsions	0	0	BrainCerebellum;Stomach;BrainCerebellarHemisphere	0	0	0	intellectual disability & epilepsy	0	0	Not druggable	4	0
PAQR5	788	NA	NA	NA	NA	NA	0	1	0	1	0	0	0	0	1	0	0	1.03603695138068	3	6774199	98.8182564793785	symptoms	Syncope and collapse	0	Diagnoses - main ICD10: R55 Syncope and collapse	Stomach	0	0	0	0	0	0	Not druggable	5	0
MYADML2	426	NA	NA	NA	NA	NA	0	1	0	1	0	0	0	0	1	0	0	1.03603695138068	3	6772676	98.7960398003854	circulatory system	Cardiac conduction disorders	0	Cardiac conduction disorders	BrainAnteriorcingulatecortexBA24;BrainCaudatebasalganglia	0	0	0	0	0	0	Not druggable	5	0
ZNF837	555	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6750993	98.4797402267764	digestive	Inflammatory bowel disease and other gastroenteritis and colitis	0	Inflammatory bowel disease and other gastroenteritis and colitis	0	0	0	Date K51 first reported (ulcerative colitis)	0	0	0	Not druggable	4	0
SBDS	411	NA	NA	NA	NA	NA	1	0	0	0	0	1	0	0	0	0	0	0.898567740457355	2	6736203	98.2639919127204	circulatory system	Ischemic Heart Disease	0	0	0	0	0	Date I25 first reported (chronic ischaemic heart disease)	0	shwachman-diamond syndrome, 260400 (3)	0	Not druggable	4	0
RPH3AL	599	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	1	0	0	1.44810935975741	4	6828656	99.6126449809707	genitourinary	Other symptoms/disorders or the urinary system	0	Diagnoses - main ICD10: N39 Other disorders of urinary system	ColonTransverse;SkinSunExposedLowerleg	0	0	Date N13 first reported (obstructive and reflux uropathy)	0	0	0	Not druggable	5	0
C12orf57	759	NA	NA	NA	NA	NA	0	0	0	1	0	0	1	0	0	0	0	1.14226842237955	2	6789127	99.0360178608679	congenital anomalies	Other and unspecified congenital anomalies	Temtamy syndrome	0	AdiposeSubcutaneous;BreastMammaryTissue	0	0	0	0	0	0	Not druggable	5	0
MEGF6	696	NA	NA	NA	NA	NA	0	0	0	0	1	1	0	0	0	0	0	1.06968744159571	2	6779620	98.897335019642	dermatologic	Psoriasis and related disorders	0	0	0	0	0	Date L40 first reported (psoriasis)	psoriasis	0	0	Not druggable	5	0
ATXN10	379	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6809643	99.3352938859641	sense organs	Other disorders of eye	0	Eye problems/disorders: Diabetes related eye disease	ColonTransverse;Pancreas	0	0	Date H27 first reported (other disorders of lens)	0	0	0	Not druggable	5	0
ZNF445	530	NA	NA	NA	NA	NA	0	0	0	1	0	1	0	1	0	0	1	1.42918210883626	4	6827168	99.5909388625586	digestive	Diseases of esophagus	0	0	EsophagusMuscularis	0	0	Date I85 first reported (oesophageal varices)	0	0	Gastroesophageal reflux disease	Not druggable	5	0
THSD7A	550	NA	NA	NA	NA	NA	0	0	0	1	1	1	0	0	1	0	1	1.3650864912701	5	6823354	99.5353023466823	digestive	Abdominal hernia	0	0	Vagina	0	0	Date K42 first reported (umbilical hernia);Date K43 first reported (ventral hernia);Date K46 first reported (unspecified abdominal hernia);Date K45 first reported (other abdominal hernia);Date K40 first reported (inguinal hernia)	diaphragmatic hernia	0	0	Not druggable	5	0
RGPD1	716	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6759591	98.6051630803433	musculoskeletal	Other arthropathies	0	Unspecified polyarthropathy or polyarthritis;Other arthropathies	0	0	0	Date M17 first reported (gonarthrosis [arthrosis of knee])	0	0	0	Not druggable	4	0
FAM83B	696	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6751307	98.4843206845596	dermatologic	Psoriasis and related disorders	0	Non-cancer illness code, self-reported: psoriasis	0	0	0	Date L40 first reported (psoriasis)	0	0	0	Not druggable	4	0
ADAMTS17	535	NA	NA	NA	NA	NA	0	1	0	1	0	0	0	0	1	0	0	1.03603695138068	3	6776985	98.8588971016205	digestive	Gastritis and duodenitis	0	Diagnoses - main ICD10: K29 Gastritis and duodenitis	Lung;Liver	0	0	0	0	0	0	DRUGGABLE GENOME	5	0
COQ10A	250	NA	NA	NA	NA	NA	0	0	0	0	0	1	0	1	0	0	0	1.28423042205845	2	6800961	99.208645687003	endocrine/metabolic	Diabetes mellitus	0	0	0	0	0	Date E11 first reported (non-insulin-dependent diabetes mellitus);Date E10 first reported (insulin-dependent diabetes mellitus)	0	0	Psoriasis or type 2 diabetes (trans-disease meta-analysis);Psoriasis or type 2 diabetes (trans-disease meta-analysis)(opposite effect)	Not druggable	5	0
WDR19	577	NA	NA	NA	NA	NA	1	0	0	0	0	1	0	0	0	0	0	0.898567740457355	2	6735831	98.2585653831174	digestive	Diseases of pancreas	0	0	0	0	0	Date K85 first reported (acute pancreatitis)	0	nephronophthisis 13, 614377 (3);senior-loken syndrome 8, 616307 (3)	0	Not druggable	4	0
LMNTD1	366	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6753439	98.5154211176609	sense organs	Cataract	0	Diagnoses - main ICD10: H25 Senile cataract	0	0	0	Date H25 first reported (senile cataract);Date H26 first reported (other cataract)	0	0	0	Not druggable	4	0
RALGAPA1	586	NA	NA	NA	NA	NA	1	0	0	1	0	1	0	0	0	0	1	1.04351942723517	4	6778201	98.8766354349466	genitourinary	Other disorders of the kidney and ureters	0	0	Prostate	0	0	Date N26 first reported (unspecified contracted kidney)	0	neurodevelopmental disorder with hypotonia, neonatal respiratory insufficiency, and thermodysregulation, 618797 (3)	0	Not druggable	5	0
TBC1D10C	296	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6812751	99.3806316655507	mental disorders	Mood disorders	0	Mood disorders	BrainCaudatebasalganglia;BrainNucleusaccumbensbasalganglia	0	0	Date F34 first reported (persistent mood [affective] disorders)	0	0	0	Not druggable	5	0
SMARCC2	495	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	1	0	0	1	1.64411128761573	4	6838547	99.7569294011416	respiratory	Asthma	0	Non-cancer illness code, self-reported: asthma;Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Asthma	0	0	0	Date J45 first reported (asthma)	0	0	Childhood asthma (age<16) (more controls excluded);Childhood asthma (age<16)	Not druggable	6	0
KRTCAP3	594	NA	NA	NA	NA	NA	0	0	0	1	0	1	0	1	0	0	0	1.61956062691077	3	6837236	99.7378052605245	genitourinary	Urinary calculus	0	0	Pancreas	0	0	Date N20 first reported (calculus of kidney and ureter)	0	0	Urolithiasis;Kidney stones	Not druggable	6	0
TEKT3	367	NA	NA	NA	NA	NA	0	1	0	1	0	0	0	0	1	0	0	1.03603695138068	3	6771022	98.7719121660752	sense organs	Disorders of refraction and accommodation; blindness and low vision	0	Which eye(s) affected by myopia (short sight): Right eye	BrainHippocampus	0	0	0	0	0	0	Not druggable	5	0
TMTC1	351	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6758779	98.5933180748657	neurological	Other peripheral nerve disorders	0	Other peripheral nerve disorders	0	0	0	Date G56 first reported (mononeuropathies of upper limb)	0	0	0	Not druggable	4	0
IER5L	476	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6763145	98.6570068604755	respiratory	Allergic rhinitis	0	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema	0	0	0	Date J30 first reported (vasomotor and allergic rhinitis)	0	0	0	Not druggable	4	0
PAX8	594	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	1	0	1	1.2577308416829	5	6800229	99.197967677139	genitourinary	Urinary calculus	0	Calculus of ureter	Pancreas	0	0	Date N20 first reported (calculus of kidney and ureter)	0	0	0	Not druggable	5	0
FAM171A2	366	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6816818	99.4399588050548	sense organs	Cataract	0	Diagnoses - main ICD10: H26 Other cataract	NerveTibial	0	0	Date H25 first reported (senile cataract);Date H26 first reported (other cataract)	0	0	0	Not druggable	5	0
POLD1	242	NA	NA	NA	NA	NA	1	0	0	0	0	1	0	0	0	0	0	0.898567740457355	2	6735412	98.2524532435914	endocrine/metabolic	Thyrotoxicosis with or without goiter	0	0	0	0	0	Date E05 first reported (thyrotoxicosis [hyperthyroidism])	0	mandibular hypoplasia, deafness, progeroid features, and lipodystrophy syndrome, 615381 (3)	0	DRUGGABLE GENOME	4	0
CHRD	296	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6753157	98.5113074581231	mental disorders	Mood disorders	0	Depression;Mood disorders	0	0	0	Date F31 first reported (bipolar affective disorder);Date F34 first reported (persistent mood [affective] disorders)	0	0	0	DRUGGABLE GENOME	4	0
ETV7	335	NA	NA	NA	NA	NA	0	0	0	1	0	1	0	1	1	0	0	1.77000798980735	4	6842260	99.8110925850557	neurological	Multiple sclerosis	0	0	AdiposeVisceralOmentum;WholeBlood	0	0	Date G35 first reported (multiple sclerosis)	0	0	Multiple sclerosis	Not druggable	6	0
AMH	939	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	1	0	0	1.44810935975741	4	6829349	99.6227540804731	dermatologic	Atopic/contact dermatitis due to other or unspecified	0	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema	MuscleSkeletal;Ovary;SkinNotSunExposedSuprapubic	0	0	Date L25 first reported (unspecified contact dermatitis);Date L24 first reported (irritant contact dermatitis)	0	0	0	DRUGGABLE GENOME	5	0
GRIA4	345	epilepsy; grand mal convulsion; partial seizures	perampanel; topiramate	epilepsy; seizure; bilateral tonic-clonic seizure	4; 3	topiramate; perampanel	1	0	0	0	0	1	0	0	1	0	0	1.04901510335393	3	6778435	98.8800488971162	neurological	Epilepsy, recurrent seizures, convulsions	0	0	0	0	0	Date G41 first reported (status epilepticus)	0	neurodevelopmental disorder with or without seizures and gait abnormalities, 617864 (3)	0	DRUGGABLE GENOME	5	1
HLA-DRB1	709	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	1	0	0	0	2.39490539027912	3	6851955	99.9525178659735	dermatologic	Diffuse diseases of connective tissue	0	Sicca syndrome;Diffuse diseases of connective tissue	0	Sicca syndrome	0	0	0	0	Systemic sclerosis [ATA positive];Systemic sclerosis;Sjögren's syndrome	DRUGGABLE GENOME	6	0
ZNF83	427	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6815969	99.427574064106	circulatory system	Cardiac dysrhythmias	0	Diagnoses - main ICD10: I48 Atrial fibrillation and flutter;Palpitations	ArteryTibial;BrainSpinalcordcervicalc1;BreastMammaryTissue;ColonSigmoid;EsophagusGastroesophagealJunction;EsophagusMuscularis;HeartAtrialAppendage;MinorSalivaryGland;Pituitary;Stomach	0	0	Date I48 first reported (atrial fibrillation and flutter)	0	0	0	Not druggable	5	0
DBH	939	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	1	0	0	1.44810935975741	4	6830136	99.6342343998215	dermatologic	Atopic/contact dermatitis due to other or unspecified	0	Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema	MuscleSkeletal;Ovary	0	0	Date L25 first reported (unspecified contact dermatitis)	0	0	0	DRUGGABLE GENOME	5	0
GLI2	264	NA	NA	NA	NA	NA	1	0	0	0	1	0	0	0	0	0	1	0.953731847225098	3	6739311	98.309329692307	endocrine/metabolic	Lack of normal physiological development	0	0	0	0	0	0	short stature	culler-jones syndrome, 615849 (3);holoprosencephaly 9, 610829 (3)	0	DRUGGABLE GENOME	4	0
AMPD2	752	NA	NA	NA	NA	NA	1	0	0	0	1	1	1	0	0	0	0	2.36312099120357	4	6851711	99.9489585293521	congenital anomalies	Nervous system congenital anomalies	Pontocerebellar hypoplasia, type 9	0	0	0	0	Date Q05 first reported (spina bifida)	pontocerebellar hypoplasia with facial dysmorphism & teeth abnormalities;global developmental delay%2c epilepsy and brain malformation;agenesis of corpus callosum%2c hypoplasia of bulbus and pons%2c blindness and protruding tongue	pontocerebellar hypoplasia, type 9, 615809 (3);?spastic paraplegia 63, 615686 (3)	0	DRUGGABLE GENOME	6	0
GALR3	495	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6756204	98.5557554035544	respiratory	Asthma	0	Non-cancer illness code, self-reported: asthma;Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Asthma	0	0	0	Date J45 first reported (asthma);Date J46 first reported (status asthmaticus)	0	0	0	DRUGGABLE GENOME	4	0
PRM1	250	NA	NA	NA	NA	NA	0	1	0	0	0	0	0	1	0	0	0	1.42241739731351	2	6826762	99.5850163598198	endocrine/metabolic	Diabetes mellitus	0	Non-cancer illness code, self-reported: diabetes	0	0	0	0	0	0	Type 1 diabetes	Not druggable	5	0
FASLG	495	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	1	1	0	0	1.02260537657829	2	6770065	98.757951981048	respiratory	Asthma	0	0	0	0	0	0	0	0	Asthma | non-cancer illness code, self-reported;Asthma;Asthma (childhood onset)	DRUGGABLE GENOME	4	0
IGSF21	317	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	1	0	0	1.44810935975741	4	6830029	99.6326735431883	mental disorders	Alcohol-related disorders	0	Alcoholism;Alcohol-related disorders	BrainHypothalamus	0	0	Date F10 first reported (mental and behavioural disorders due to use of alcohol)	0	0	0	Not druggable	5	0
SPCS1	411	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6807522	99.3043539147597	circulatory system	Ischemic Heart Disease	0	Angina pectoris	ArteryTibial	0	0	Date I25 first reported (chronic ischaemic heart disease)	0	0	0	Not druggable	5	0
ATP5F1A	704	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6816026	99.4284055484806	dermatologic	Diseases of hair and hair follicles	0	Hair/balding pattern: Pattern 3;Hair/balding pattern: Pattern 4	MuscleSkeletal	0	0	Date L66 first reported (cicatricial alopecia [scarring hair loss])	0	0	0	Not druggable	5	0
ADSL	495	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6748182	98.4387349184051	respiratory	Asthma	0	Non-cancer illness code, self-reported: asthma	0	0	0	Date J45 first reported (asthma)	0	0	0	Not druggable	4	0
ZBED3	250	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	1	0	0	0	1.83448980569024	3	6843681	99.8318213446415	endocrine/metabolic	Diabetes mellitus	0	Non-cancer illness code, self-reported: type 2 diabetes	0	0	0	Date E11 first reported (non-insulin-dependent diabetes mellitus);Date E10 first reported (insulin-dependent diabetes mellitus)	0	0	Type 2 diabetes [EA];Type 2 diabetes;Type 2 diabetes (adjusted for BMI)	Not druggable	6	0
ABCB5	379	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6739535	98.312597280025	sense organs	Other disorders of eye	0	Eye problems/disorders: Diabetes related eye disease	0	0	0	Date H43 first reported (disorders of vitreous body)	0	0	0	DRUGGABLE GENOME	4	0
SAMD1	557	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6760590	98.6197359380675	digestive	Intestinal malabsorption (non-celiac)	0	Celiac disease	0	0	0	Date K90 first reported (intestinal malabsorption);Date E73 first reported (lactose intolerance)	0	0	0	DRUGGABLE GENOME	4	0
TTN	359	NA	NA	NA	NA	NA	1	0	0	0	1	0	1	0	0	0	0	1.95104858282684	3	6846776	99.8769694874409	neurological	Muscular dystrophies and other myopathies	Muscular dystrophy;Limb-girdle muscular dystrophy, type 2J;Myopathy, early-onset, with fatal cardiomyopathy;Tibial muscular dystrophy;Distal muscle weakness;Myopathy, myofibrillar, 9, with early respiratory failure;Myopathy;Classic multiminicore myopathy;Centronuclear myopathy;Limb-girdle muscular dystrophy;Multiminicore Disease;Congenital muscular dystrophy	0	0	0	0	0	muscular dystrophy;tibial muscular dystrophy;muscular dystrophy%2c limb girdle 2j;atrial fibrillation%2c early-onset;creatine phosphokinase abnormalities%2c muscular dystrophy;muscular dystrophy%2c limb-girdle 2j;muscular dystrophy%2c emery-dreifuss-like without cardiomyopathy;myopathy/muscular dystrophy;rimmed vacuolar myopathy;myopathy%2c early-onset with cardiomyopathy;muscular dystrophy%2c limb girdle%2c adult onset;congenital myopathy;myopathy;muscular dystrophy%2c limb girdle 10;myopathy with early respiratory failure;cardiomyopathy%2c dilated;neuromuscular disorder;titinopathy;arthrogryposis;arrhythmogenic right ventricular cardiomyopathy;periodic paralysis;arthrogryposis multiplex congenita and myopathy;arthrogryposis multiplex congenita & myopathy without cardiac involvement;muscular dystrophy with enlarged heart;muscular dystrophy%2c limb-girdle;cardiomyopathy/myopathy/muscular dystrophy;monogenic dilated cardiomyopathy	muscular dystrophy, limb-girdle, autosomal recessive 10, 608807 (3);salih myopathy, 611705 (3);myopathy, myofibrillar, 9, with early respiratory failure, 603689 (3);tibial muscular dystrophy, tardive, 600334 (3)	0	DRUGGABLE GENOME	6	0
NUP88	740	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6817009	99.4427450070822	musculoskeletal	Osteoarthrosis	0	Non-cancer illness code, self-reported: osteoarthritis	BrainFrontalCortexBA9	0	0	Date M16 first reported (coxarthrosis [arthrosis of hip]);Date M17 first reported (gonarthrosis [arthrosis of knee])	0	0	0	Not druggable	5	0
PEAR1	427	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6753570	98.5173320729781	circulatory system	Cardiac dysrhythmias	0	Non-cancer illness code, self-reported: heart arrhythmia;Palpitations	0	0	0	Date I48 first reported (atrial fibrillation and flutter);Date I46 first reported (cardiac arrest)	0	0	0	Not druggable	4	0
TET3	315	NA	NA	NA	NA	NA	1	0	0	0	1	1	0	0	0	0	1	1.36580425560183	4	6823496	99.5373737638964	mental disorders	Develomental delays and disorders	0	0	0	0	0	Date F80 first reported (specific developmental disorders of speech and language)	intellectual disability/global developmental delay%2c autistic traits and movement disorder;intellectual disability/global developmental delay%2c hypotonia%2c autistic traits%2c movement disorder and facial dysmorphism;intellectual disability/global developmental delay%2c hypotonia%2c movement disorder and facial dysmorphism;intellectual disability/global developmental delay%2c autistic traits%2c movement disorder and facial dysmorphism	beck-fahrner syndrome, 618798 (3)	0	Not druggable	5	0
THBD	274	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6744242	98.3812603844375	endocrine/metabolic	Gout and other crystal arthropathies	0	Gout	0	0	0	Date M10 first reported (gout)	0	0	0	DRUGGABLE GENOME	4	0
SLC18A1	433	NA	NA	NA	NA	NA	0	0	0	1	0	0	0	1	0	0	0	1.20748821853404	2	6796528	99.1439795425669	circulatory system	Cerebrovascular disease	0	0	Spleen;BrainSubstantianigra	0	0	0	0	0	Age-related diseases, mortality and associated endophenotypes	DRUGGABLE GENOME	5	0
RNF216	696	NA	NA	NA	NA	NA	0	0	0	0	0	1	0	1	0	0	0	1.28423042205845	2	6800902	99.207785027738	dermatologic	Psoriasis and related disorders	0	0	0	0	0	Date L40 first reported (psoriasis);Date L42 first reported (pityriasis rosea)	0	0	"Psoriatic arthropathies, ICD10";Psoriatic and enteropathic arthropathies;Other psoriatic arthropathies;Arthropathic psoriasis	Not druggable	5	0
MAPK11	594	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6759361	98.6018079679543	genitourinary	Urinary calculus	0	Diagnoses - main ICD10: N20 Calculus of kidney and ureter	0	0	0	Date N20 first reported (calculus of kidney and ureter)	0	0	0	DRUGGABLE GENOME	4	0
UGT8	433	NA	NA	NA	NA	NA	0	1	0	1	0	0	0	0	1	1	0	0.914336366006842	4	6737280	98.2797025911679	circulatory system	Cerebrovascular disease	0	Cerebral artery occlusion, with cerebral infarction	Thyroid	0	Thyroid	0	0	0	0	DRUGGABLE GENOME	4	0
BMPER	760	NA	NA	NA	NA	NA	0	1	0	1	0	0	0	0	1	0	0	1.03603695138068	3	6777618	98.8681309544128	symptoms	Back pain	0	Non-cancer illness code, self-reported: back pain	ArteryTibial;BrainFrontalCortexBA9	0	0	0	0	0	0	DRUGGABLE GENOME	5	0
APOE	540	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6747262	98.4253144688493	digestive	Appendiceal conditions	0	Diagnoses - main ICD10: K35 Acute appendicitis;Appendiceal conditions	0	0	0	Date K35 first reported (acute appendicitis)	0	0	0	DRUGGABLE GENOME	4	0
TAS1R3	573	NA	NA	NA	NA	NA	0	1	0	1	0	0	0	0	1	0	0	1.03603695138068	3	6775151	98.8321437271798	digestive	Other disorders of liver	0	Other disorders of liver	Thyroid	0	0	0	0	0	0	DRUGGABLE GENOME	5	0
ENTPD2	401	NA	NA	NA	NA	NA	0	1	0	1	0	1	0	0	0	0	0	1.29766199686084	3	6807219	99.2999339188734	circulatory system	Hypertension	0	Non-cancer illness code, self-reported: essential hypertension;Essential hypertension;Hypertension	Lung	0	0	Date I10 first reported (essential (primary) hypertension)	0	0	0	Not druggable	5	0
COL11A2	371	NA	NA	uveitis	1	ocriplasmin	0	1	1	1	0	1	0	0	0	1	1	1.95807088637811	6	6847016	99.8804704742816	sense organs	Inflammation of the eye	0	Inflammation of eyelids;Inflammation of the eye	EsophagusMuscularis	Inflammation of eyelids,Inflammation of the eye	EsophagusMuscularis	Date H01 first reported (other inflammation of eyelid)	0	0	0	DRUGGABLE GENOME	6	1
FERMT3	706	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6746594	98.4155700554761	dermatologic	Diseases of sebaceous glands	0	Sebaceous cyst;Diseases of sebaceous glands	0	0	0	Date L72 first reported (follicular cysts of skin and subcutaneous tissue);Date L70 first reported (acne)	0	0	0	Not druggable	4	0
KCNQ1	367	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	1	0	0	1.11277915490509	3	6786967	99.0045089793019	sense organs	Disorders of refraction and accommodation; blindness and low vision	0	Which eye(s) affected by presbyopia: Right eye;Reason for glasses/contact lenses: For short-sightedness, i.e. only or mainly for distance viewing such as driving, cinema etc (called 'myopia')	0	0	0	Date H52 first reported (disorders of refraction and accommodation)	0	0	0	DRUGGABLE GENOME	5	0
KLRD1	244	NA	NA	NA	NA	NA	0	1	0	1	0	0	0	0	1	0	0	1.03603695138068	3	6772041	98.7867767727028	endocrine/metabolic	Hypothyroidism	0	Non-cancer illness code, self-reported: hypothyroidism/myxoedema;Hypothyroidism NOS;Hypothyroidism	WholeBlood	0	0	0	0	0	0	DRUGGABLE GENOME	5	0
ALG8	751	NA	NA	NA	NA	NA	1	0	0	1	1	1	0	0	0	0	0	1.89151297852866	4	6845149	99.8532357141503	congenital anomalies	Genitourinary congenital anomalies	0	0	BrainAmygdala	0	0	Date Q61 first reported (cystic kidney disease);Date Q63 first reported (other congenital malformations of kidney)	polycystic kidney disease	congenital disorder of glycosylation, type ih, 608104 (3)	0	Not druggable	6	0
SMAD3	510	NA	NA	NA	NA	NA	0	0	0	0	0	1	0	1	0	0	0	1.28423042205845	2	6801493	99.2164062078332	respiratory	Other diseases of lung	0	0	0	0	0	Date J99 first reported (respiratory disorders in diseases classified elsewhere)	0	0	Respiratory diseases;Diseases of the respiratory system	DRUGGABLE GENOME	5	0
GPR176	550	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0	0.96233179200852	2	6758203	98.5849157064481	digestive	Abdominal hernia	0	Diagnoses - main ICD10: K42 Umbilical hernia	0	0	0	Date K46 first reported (unspecified abdominal hernia)	0	0	0	DRUGGABLE GENOME	4	0
